,Paper_Title,Publish_Year,Publish_Journal,MP_polymer,MP_size_um,MP_shape,mouse_rat,exposure_method,exposure_duration_day,MP_dose_mg_kg_dw_day,if_coexposure,Liver_MP_accum,Brain_MP_conc,blood_MP_conc,Kidney_MP_conc,Heart_MP_conc,Lung_MP_conc,Spleen_MP_conc,Testis_MP_conc,Gut_MP_conc,Uterus_ovaries_MP_conc,MP_accumulation_detection_method
3,novel probiotics adsorbing and excreting microplastics in vivo show potential gut health benefits ,2025, frontiers in microbiology ,ps,5,,mice,oral gavage,7,42,Yes,,,,,,,,,,,fluorescence microscopy
8,cpt1 deficiency blocks autophagic flux to promote lipid accumulation induced by co-exposure to polystyrene microplastic and cadmium ,2024, frontiers in pharmacology ,ps,5,beads,mice,oral gavage,90,2.5,Yes,M,,,,,,,,,,other microscope
9,hemotoxic effects of polyethylene microplastics on mice ,2023, frontiers in physiology ,pe,0.1,irregular,mice,oral gavage,15,1.5,none,,,,,,,,,,,other microscope
9,hemotoxic effects of polyethylene microplastics on mice ,2023, frontiers in physiology ,pe,0.1,irregular,mice,oral gavage,15,15,none,,,,,,,,,,,other microscope
9,hemotoxic effects of polyethylene microplastics on mice ,2023, frontiers in physiology ,pe,0.1,irregular,mice,oral gavage,15,150,none,,,,,,,,,,,other microscope
12,simulated microplastic release from cutting boards and evaluation of intestinal inflammation and gut microbiota in mice ,2025, environmental health perspectives ,other,10.4,,mice,oral gavage,28,54,none,N,,,,,,,,N,,FTIR_Raman spectroscopy
13,simulated microplastic release from cutting boards and evaluation of intestinal inflammation and gut microbiota in mice ,2025, environmental health perspectives ,pe,27.4,,mice,oral gavage,28,74,none,N,,,,,,,,N,,FTIR_Raman spectroscopy
14,simulated microplastic release from cutting boards and evaluation of intestinal inflammation and gut microbiota in mice ,2025, environmental health perspectives ,other,10.4,,mice,oral gavage,84,54,none,N,,,,,,,,N,,FTIR_Raman spectroscopy
15,simulated microplastic release from cutting boards and evaluation of intestinal inflammation and gut microbiota in mice ,2025, environmental health perspectives ,pe,27.4,,mice,oral gavage,84,74,none,N,,,,,,,,N,,FTIR_Raman spectroscopy
19,in vivo tissue distribution of polystyrene or mixed polymer microspheres and metabolomic analysis after oral exposure in mice ,2024, environmental health perspectives ,ps,5,beads,mice,oral gavage,28,12,none,M,M,M,M,,,,,,,other microscope
19,in vivo tissue distribution of polystyrene or mixed polymer microspheres and metabolomic analysis after oral exposure in mice ,2024, environmental health perspectives ,ps,5,beads,mice,oral gavage,28,24,none,M,M,M,M,,,,,,,other microscope
20,in vivo tissue distribution of polystyrene or mixed polymer microspheres and metabolomic analysis after oral exposure in mice ,2024, environmental health perspectives ,other,5,beads,mice,oral gavage,28,12,Yes,M,M,M,M,,,,,,,other microscope
20,in vivo tissue distribution of polystyrene or mixed polymer microspheres and metabolomic analysis after oral exposure in mice ,2024, environmental health perspectives ,other,5,beads,mice,oral gavage,28,24,Yes,M,M,M,M,,,,,,,other microscope
21,"evidence on invasion of blood, adipose tissues, nervous system and reproductive system of mice after a single oral exposure: nanoplastics versus microplastics ",2022, biomedical and environmental sciences ,ps,5,beads,mice,oral gavage,1,4,none,,M,M,,,,,M,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,0.5,beads,mice,oral gavage,56,0.016,none,,M,,,,,,,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,0.5,beads,mice,oral gavage,56,0.16,none,,M,,,,,,,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,4,beads,mice,oral gavage,56,0.016,none,,M,,,,,,,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,4,beads,mice,oral gavage,56,0.16,none,,M,,,,,,,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,10,beads,mice,oral gavage,56,0.016,none,,M,,,,,,,,,fluorescence microscopy
24,evaluation of neurotoxicity in balb/c mice following chronic exposure to polystyrene microplastics ,2022, environmental health perspectives ,ps,10,beads,mice,oral gavage,56,0.16,none,,M,,,,,,,,,fluorescence microscopy
32,"microplastics exacerbate cadmium-induced kidney injury by enhancing oxidative stress, autophagy, apoptosis, and fibrosis ",2022, international journal of molecular sciences ,ps,5,beads,mice,oral gavage,120,2.5,Yes,,,,M,,,,,,,fluorescence microscopy
35,toxicity and biodistribution of fragmented polypropylene microplastics in icr mice ,2023, international journal of molecular sciences ,other,5,irregular,mice,oral gavage,1,2000,none,M,M,,M,M,M,M,,,,fluorescence microscopy
36,toxicity and biodistribution of fragmented polypropylene microplastics in icr mice ,2023, international journal of molecular sciences ,other,30,irregular,mice,oral gavage,1,2000,none,M,M,,M,M,M,M,,,,fluorescence microscopy
45,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,0.625,none,M,M,,M,M,M,M,,,,fluorescence microscopy
46,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,0.625,none,M,M,,M,M,M,M,,,,fluorescence microscopy
47,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,6.25,none,M,M,,M,M,M,M,,,,fluorescence microscopy
48,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,6.25,none,M,M,,M,M,M,M,,,,fluorescence microscopy
49,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,31.25,none,M,M,,M,M,M,M,,,,fluorescence microscopy
50,acute exposure to microplastics induced changes in behavior and inflammation in young and old mice ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,21,31.25,none,M,M,,M,M,M,M,,,,fluorescence microscopy
52,polystyrene microplastics exacerbate systemic inflammation in high-fat diet-induced obesity ,2023, international journal of molecular sciences ,ps,1,beads,mice,oral gavage,42,0.005,Yes,,M,,,,,,,,,fluorescence microscopy
59,melatonin alleviates intestinal barrier damaging effects induced by polyethylene microplastics in albino rats ,2023, international journal of molecular sciences ,pe,5,,rat,oral gavage,35,3.75,Yes,,,,,,,,,M,,other microscope
59,melatonin alleviates intestinal barrier damaging effects induced by polyethylene microplastics in albino rats ,2023, international journal of molecular sciences ,pe,5,,rat,oral gavage,35,15,Yes,,,,,,,,,M,,other microscope
60,"impact of the oral administration of polystyrene microplastics on hepatic lipid, glucose, and amino acid metabolism in c57bl/6korl and c57bl/6-lepem1hwl/korl mice ",2024, international journal of molecular sciences ,ps,0.5,beads,mice,oral gavage,63,2.1,none,M,,,,,,,,,,fluorescence microscopy
60,"impact of the oral administration of polystyrene microplastics on hepatic lipid, glucose, and amino acid metabolism in c57bl/6korl and c57bl/6-lepem1hwl/korl mice ",2024, international journal of molecular sciences ,ps,0.5,beads,mice,oral gavage,63,2.1,none,M,,,,,,,,,,fluorescence microscopy
67,"in vivo impact assessment of orally administered polystyrene nanoplastics: biodistribution, toxicity, and inflammatory response in mice ",2021, nanotoxicology ,ps,0.5,beads,mice,oral gavage,14,5,none,M,,,M,,,,,M,,fluorescence microscopy
67,"in vivo impact assessment of orally administered polystyrene nanoplastics: biodistribution, toxicity, and inflammatory response in mice ",2021, nanotoxicology ,ps,0.5,beads,mice,oral gavage,14,25,none,M,,,M,,,,,M,,fluorescence microscopy
67,"in vivo impact assessment of orally administered polystyrene nanoplastics: biodistribution, toxicity, and inflammatory response in mice ",2021, nanotoxicology ,ps,0.5,beads,mice,oral gavage,14,50,none,M,,,M,,,,,M,,fluorescence microscopy
67,"in vivo impact assessment of orally administered polystyrene nanoplastics: biodistribution, toxicity, and inflammatory response in mice ",2021, nanotoxicology ,ps,0.5,beads,mice,oral gavage,14,25,none,M,,,M,,,,,M,,fluorescence microscopy
70,mechanism of nano microplastics exposure induced myocardial fibrosis: dkk3 mediated mitophagy dysfunction and pyroptosis ,2025, journal of biochemical and molecular toxicology ,pe,0.1,,mice,oral gavage,28,30,Yes,,,,,M,,,,,,fluorescence microscopy
70,mechanism of nano microplastics exposure induced myocardial fibrosis: dkk3 mediated mitophagy dysfunction and pyroptosis ,2025, journal of biochemical and molecular toxicology ,pe,0.1,,mice,oral gavage,28,60,Yes,,,,,M,,,,,,fluorescence microscopy
70,mechanism of nano microplastics exposure induced myocardial fibrosis: dkk3 mediated mitophagy dysfunction and pyroptosis ,2025, journal of biochemical and molecular toxicology ,pe,0.1,,mice,oral gavage,28,100,Yes,,,,,M,,,,,,fluorescence microscopy
78,exposure to polystyrene nanoplastics compromise ovarian reserve function and endometrial decidualization in early pregnant mice ,2025, journal of applied toxicology ,ps,0.07,,mice,oral gavage,90,30,none,,,,,,,,,,M,other
94,nrf2-mediated ferroptosis of spermatogenic cells involved in male reproductive toxicity induced by polystyrene nanoplastics in mice ,2024, journal of zhejiang university-science b (biomedicine & biotechnology) ,ps,0.05,beads,mice,oral gavage,2,75,none,M,M,,M,M,M,N,M,,,fluorescence microscopy
108,long-term exposure to environmentally realistic doses of starch-based microplastics suggests widespread health effects ,2023, journal of agricultural and food chemistry ,other,0.38,irregular,mice,oral gavage,90,31,none,M,,,,,,,,M,M,other microscope
108,long-term exposure to environmentally realistic doses of starch-based microplastics suggests widespread health effects ,2023, journal of agricultural and food chemistry ,other,0.38,irregular,mice,oral gavage,90,31,none,M,,,,,,,,M,M,other microscope
108,long-term exposure to environmentally realistic doses of starch-based microplastics suggests widespread health effects ,2023, journal of agricultural and food chemistry ,other,0.38,irregular,mice,oral gavage,90,31,none,M,,,,,,,,M,M,other microscope
110,maternal exposure to polystyrene nanoplastics disrupts spermatogenesis in mouse offspring by inducing prdm14 overexpression in undifferentiated spermatogonia ,2025, acs nano ,ps,0.025,beads,mice,oral gavage,21,42,none,,,,,,,,,,M,fluorescence microscopy
114,microplastics exacerbate ferroptosis via mitochondrial reactive oxygen species-mediated autophagy in chronic obstructive pulmonary disease ,2025, autophagy ,ps,2,beads,mice,intratracheal administration,21,40,Yes,N,N,N,N,N,M,N,N,N,N,fluorescence microscopy
123,ingested polystyrene nanospheres translocate to placenta and fetal tissues in pregnant rats: potential health implications ,2023, nanomaterials ,ps-cooh,0.025,beads,rat,oral gavage,1,2.5,none,,,,,,,,,,M,other
126,micro- and nanoplastics breach the blood Cbrain barrier (bbb): biomolecular coronas role revealed ,2023, nanomaterials ,ps,1.14,,mice,oral gavage,0.083,38,none,,M,,,,,,,,,fluorescence microscopy
127,micro- and nanoplastics breach the blood Cbrain barrier (bbb): biomolecular coronas role revealed ,2023, nanomaterials ,ps,1.14,,mice,oral gavage,0.166,38,none,,M,,,,,,,,,fluorescence microscopy
